epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.502,0.49058,3.29313,0.00951,0.00668,1,0.73299,0.61655,0.53728,2.93096,0.01545,0.000544553,0.000544553,0.000544553
2,18.9383,0.47753,2.0904,0.00929,0.89058,0.72189,0.93613,0.84852,0.47104,1.99489,0.01615,0.00107844,0.00107844,0.00107844
3,28.1514,0.49827,1.58887,0.00949,0.85019,0.92956,0.96403,0.86327,0.52855,1.18207,0.01879,0.00159031,0.00159031,0.00159031
4,37.2047,0.54769,1.28307,0.01113,0.88958,0.88869,0.96374,0.83728,0.62124,1.00348,0.01896,0.00156798,0.00156798,0.00156798
5,46.3599,0.46839,1.02174,0.00901,0.88551,0.87809,0.96809,0.85014,0.60457,0.77677,0.02115,0.00153497,0.00153497,0.00153497
6,55.5264,0.44389,0.83939,0.00815,0.88037,0.88956,0.97658,0.88818,0.44168,0.62504,0.01456,0.00150197,0.00150197,0.00150197
7,65.5781,0.4444,0.69984,0.00866,0.93076,0.91366,0.97467,0.87212,0.53334,0.47418,0.01806,0.00146896,0.00146896,0.00146896
8,74.6845,0.4123,0.5885,0.00762,0.90781,0.92148,0.97438,0.87361,0.54621,0.35613,0.01916,0.00143595,0.00143595,0.00143595
9,83.8747,0.39746,0.51278,0.00697,0.95532,0.93971,0.98713,0.9501,0.30816,0.2245,0.00906,0.00140295,0.00140295,0.00140295
10,93.0333,0.41085,0.45459,0.00765,0.94632,0.9175,0.97996,0.89308,0.502,0.30429,0.01877,0.00136994,0.00136994,0.00136994
11,102.116,0.36894,0.38999,0.0065,0.9069,0.9475,0.97737,0.94958,0.27502,0.24825,0.00776,0.00133693,0.00133693,0.00133693
12,111.214,0.35034,0.36501,0.00631,0.94681,0.94661,0.9848,0.94677,0.32765,0.22937,0.00944,0.00130393,0.00130393,0.00130393
13,120.502,0.36829,0.33533,0.00651,0.93415,0.9725,0.98877,0.92426,0.37663,0.22576,0.01265,0.00127092,0.00127092,0.00127092
14,129.632,0.34569,0.30612,0.00602,0.9548,0.9406,0.98984,0.90772,0.44615,0.24939,0.01504,0.00123791,0.00123791,0.00123791
15,138.652,0.33628,0.30524,0.00599,0.95182,0.96661,0.98561,0.93589,0.39017,0.22105,0.01163,0.00120491,0.00120491,0.00120491
