epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6511,0.49997,1.51075,1.05396,0.96315,0.9643,0.99345,0.82164,0.55149,1.03703,1.11697,0.00055011,0.00055011,0.00055011
2,36.8642,0.43415,0.62931,0.99518,0.98945,0.99579,0.995,0.88432,0.46312,0.6505,0.98737,0.00108388,0.00108388,0.00108388
3,47.8122,0.44581,0.5577,0.9967,0.99262,0.99472,0.995,0.84376,0.56644,0.60785,1.04307,0.00159565,0.00159565,0.00159565
4,58.4966,0.4313,0.49893,0.98324,0.99753,1,0.995,0.91064,0.42258,0.50559,0.89031,0.00156798,0.00156798,0.00156798
5,69.4305,0.38793,0.44904,0.95607,0.99959,1,0.995,0.91625,0.40309,0.46402,0.8931,0.00153497,0.00153497,0.00153497
6,80.2604,0.37451,0.40742,0.9536,0.99889,1,0.995,0.92738,0.3793,0.38961,0.83487,0.00150197,0.00150197,0.00150197
7,91.121,0.35804,0.37803,0.95112,0.99584,0.99918,0.995,0.92951,0.36916,0.38946,0.8729,0.00146896,0.00146896,0.00146896
8,101.766,0.35913,0.36276,0.95306,0.99919,1,0.995,0.93861,0.35836,0.33816,0.86736,0.00143595,0.00143595,0.00143595
9,112.436,0.34962,0.34012,0.94378,0.99933,1,0.995,0.92985,0.35746,0.31351,0.87813,0.00140295,0.00140295,0.00140295
10,123.144,0.34216,0.32815,0.9435,0.9997,1,0.995,0.94671,0.31539,0.29516,0.81356,0.00136994,0.00136994,0.00136994
11,134.881,0.32465,0.31393,0.92977,0.99951,1,0.995,0.95104,0.30399,0.3045,0.8399,0.00133693,0.00133693,0.00133693
12,145.962,0.31732,0.30837,0.92915,0.99967,1,0.995,0.93678,0.34996,0.29293,0.84661,0.00130393,0.00130393,0.00130393
13,157.032,0.31563,0.29079,0.9234,0.99917,0.9975,0.995,0.95213,0.3096,0.27483,0.81375,0.00127092,0.00127092,0.00127092
14,168.153,0.29807,0.27962,0.92053,0.99909,1,0.995,0.95198,0.29408,0.27887,0.81747,0.00123791,0.00123791,0.00123791
15,179.204,0.28867,0.26685,0.91167,0.99956,1,0.995,0.96694,0.28148,0.25154,0.80812,0.00120491,0.00120491,0.00120491
