epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4751,0.98057,1.10883,1.16101,0.82339,0.75144,0.84576,0.58862,1.07181,0.93991,1.30304,0.000664931,0.000664931,0.000664931
2,101.272,1.03991,0.83383,1.18092,0.87783,0.8061,0.88856,0.62013,1.12874,0.84901,1.34698,0.00131841,0.00131841,0.00131841
3,147.26,1.02715,0.7816,1.16755,0.8712,0.79862,0.88356,0.60816,1.12454,1.037,1.34919,0.0019587,0.0019587,0.0019587
4,192.56,0.98472,0.70662,1.13835,0.97002,0.958,0.98876,0.74506,0.89781,0.49613,1.10696,0.0019406,0.0019406,0.0019406
5,238.017,0.94723,0.64042,1.10952,0.99003,0.97178,0.99312,0.76949,0.852,0.45469,1.10114,0.0019208,0.0019208,0.0019208
6,282.849,0.9158,0.59683,1.08457,0.99163,0.98274,0.99446,0.79799,0.79428,0.38364,1.03856,0.001901,0.001901,0.001901
7,328.225,0.89187,0.55128,1.07517,0.97745,0.94304,0.96883,0.7592,0.82924,0.52823,1.0689,0.0018812,0.0018812,0.0018812
8,373.267,0.88695,0.55291,1.07079,0.9923,0.98216,0.99472,0.7984,0.76025,0.36495,1.0142,0.0018614,0.0018614,0.0018614
9,418.952,0.87768,0.52257,1.06343,0.98674,0.98907,0.99456,0.79882,0.76328,0.36313,1.01373,0.0018416,0.0018416,0.0018416
10,464.213,0.87272,0.52068,1.05689,0.99364,0.98867,0.99488,0.79657,0.76373,0.3577,1.01773,0.0018218,0.0018218,0.0018218
11,508.987,0.85245,0.50547,1.0499,0.99364,0.98892,0.99491,0.80662,0.7499,0.33816,1.00709,0.001802,0.001802,0.001802
12,553.699,0.84528,0.49236,1.04674,0.99054,0.98619,0.99472,0.8064,0.73634,0.34424,0.99471,0.0017822,0.0017822,0.0017822
